mmwr_week,week_ending_date,total_deaths,covid_19_deaths,wkNum
1,2020-01-04T00:00:00.000,60158,3,1
2,2020-01-11T00:00:00.000,60713,3,2
3,2020-01-18T00:00:00.000,59344,3,3
4,2020-01-25T00:00:00.000,59138,2,4
5,2020-02-01T00:00:00.000,58796,1,5
6,2020-02-08T00:00:00.000,59364,2,6
7,2020-02-15T00:00:00.000,58782,0,7
8,2020-02-22T00:00:00.000,58857,4,8
9,2020-02-29T00:00:00.000,59269,9,9
10,2020-03-07T00:00:00.000,59633,35,10
11,2020-03-14T00:00:00.000,58632,56,11
12,2020-03-21T00:00:00.000,59164,574,12
13,2020-03-28T00:00:00.000,62972,3173,13
14,2020-04-04T00:00:00.000,72243,10063,14
15,2020-04-11T00:00:00.000,79033,16232,15
16,2020-04-18T00:00:00.000,76726,17096,16
17,2020-04-25T00:00:00.000,73842,15473,17
18,2020-05-02T00:00:00.000,69245,13174,18
19,2020-05-09T00:00:00.000,66767,11200,19
20,2020-05-16T00:00:00.000,64431,9193,20
21,2020-05-23T00:00:00.000,61563,7206,21
22,2020-05-30T00:00:00.000,59610,6141,22
23,2020-06-06T00:00:00.000,58826,5024,23
24,2020-06-13T00:00:00.000,57958,4217,24
25,2020-06-20T00:00:00.000,57918,3823,25
26,2020-06-27T00:00:00.000,58419,3813,26
27,2020-07-04T00:00:00.000,59746,4519,27
28,2020-07-11T00:00:00.000,61829,5749,28
29,2020-07-18T00:00:00.000,63065,7156,29
30,2020-07-25T00:00:00.000,64135,8188,30
31,2020-08-01T00:00:00.000,64112,8266,31
32,2020-08-08T00:00:00.000,63583,7822,32
33,2020-08-15T00:00:00.000,63480,7214,33
34,2020-08-22T00:00:00.000,62351,6337,34
35,2020-08-29T00:00:00.000,60865,5690,35
36,2020-09-05T00:00:00.000,59912,4967,36
37,2020-09-12T00:00:00.000,59302,4574,37
38,2020-09-19T00:00:00.000,59270,4213,38
39,2020-09-26T00:00:00.000,59967,4213,39
40,2020-10-03T00:00:00.000,58676,4118,40
41,2020-10-10T00:00:00.000,59942,4613,41
42,2020-10-17T00:00:00.000,58431,4950,42
43,2020-10-24T00:00:00.000,59855,5729,43
44,2020-10-31T00:00:00.000,60976,6682,44
45,2020-11-07T00:00:00.000,64356,8301,45
46,2020-11-14T00:00:00.000,65696,10132,46
47,2020-11-21T00:00:00.000,67990,12782,47
48,2020-11-28T00:00:00.000,69304,14889,48
49,2020-12-05T00:00:00.000,72870,17593,49
50,2020-12-12T00:00:00.000,76296,19502,50
51,2020-12-19T00:00:00.000,75308,20149,51
52,2020-12-26T00:00:00.000,73074,20000,52
53,2021-01-02T00:00:00.000,68440,18794,53
1,2021-01-09T00:00:00.000,57680,16732,54
2,2021-01-16T00:00:00.000,51526,14635,55
3,2021-01-23T00:00:00.000,41840,11459,56
4,2021-01-30T00:00:00.000,18809,4675,57
